stock,date,senti_raise,senti_drop,senti_inconclusive,year,month,day,open,high,low,close,adj_close,volume
AMZN,2023-08-03,2,1,7,2023,08,03,127.480003,129.839996,126.410004,128.910004,128.910004,88585200
AMZN,2023-09-15,0,2,1,2023,09,15,142.690002,143.570007,140.089996,140.389999,140.389999,102861700
AMZN,2023-05-27,0,0,4,2023,05,27,116.040001,121.500000,116.019997,120.110001,120.110001,96779900
AMZN,2023-04-27,3,4,7,2023,04,27,108.160004,110.860001,106.800003,109.820000,109.820000,149961200
AMZN,2023-04-28,1,4,5,2023,04,28,107.730003,109.480003,104.330002,105.449997,105.449997,130565000
AMZN,2024-01-27,1,0,2,2024,01,27,158.419998,160.720001,157.910004,159.119995,159.119995,51047400
AMZN,2023-04-20,1,0,1,2023,04,20,103.529999,105.250000,103.209999,103.809998,103.809998,57696900
AMZN,2023-07-24,0,0,3,2023,07,24,130.309998,131.660004,128.350006,128.800003,128.800003,45591100
AMZN,2023-10-26,1,0,2,2023,10,26,120.629997,121.639999,118.349998,119.570000,119.570000,100419500
AMZN,2023-10-27,1,2,3,2023,10,27,126.199997,130.020004,125.519997,127.739998,127.739998,125309300
AMZN,2023-02-25,0,1,0,2023,02,25,,,,,,
AMZN,2023-10-21,1,1,1,2023,10,21,128.050003,128.169998,124.970001,125.169998,125.169998,56343300
AMZN,2023-12-21,0,0,2,2023,12,21,153.300003,153.970001,152.100006,153.839996,153.839996,36305700
AMZN,2023-05-26,1,0,1,2023,05,26,116.040001,121.500000,116.019997,120.110001,120.110001,96779900
AMZN,2024-02-08,1,1,7,2024,02,08,169.649994,171.429993,168.880005,169.839996,169.839996,42316500
AMZN,2024-01-25,2,1,4,2024,01,25,156.949997,158.509995,154.550003,157.750000,157.750000,43638600
AMZN,2023-12-22,1,0,4,2023,12,22,153.770004,154.350006,152.710007,153.419998,153.419998,29480100
AMZN,2023-09-21,0,1,2,2023,09,21,131.940002,132.240005,129.309998,129.330002,129.330002,70234800
AMZN,2023-03-29,0,0,4,2023,03,29,98.690002,100.419998,98.559998,100.250000,100.250000,49783300
AMZN,2023-11-21,0,0,2,2023,11,21,143.910004,144.050003,141.500000,143.899994,143.899994,71226000
AMZN,2023-02-22,1,0,2,2023,02,22,,,,,,
AMZN,2023-04-05,0,0,2,2023,04,05,103.910004,103.910004,100.750000,101.099998,101.099998,45175400
AMZN,2023-04-11,0,1,0,2023,04,11,100.800003,101.000000,99.010002,99.919998,99.919998,60417800
AMZN,2023-05-04,2,0,2,2023,05,04,104.040001,105.389999,103.309998,104.000000,104.000000,45345500
AMZN,2023-04-30,1,0,0,2023,04,30,107.730003,109.480003,104.330002,105.449997,105.449997,130565000
AMZN,2023-07-25,0,0,8,2023,07,25,129.309998,129.580002,128.529999,129.130005,129.130005,39236700
